WalkerID, PositionX, PositionY, PositionZ, Collisions, XIRate, log10(XIRate)
526, 10, 9, 8, 6148, 0.1537, 0.823269
527, 11, 9, 8, 6154, 0.15385, 0.823361
528, 12, 9, 8, 6195, 0.154875, 0.823988
529, 17, 9, 8, 16676, 0.4169, 0.917435
530, 18, 9, 8, 16544, 0.4136, 0.916685
531, 5, 10, 8, 6302, 0.15755, 0.825604
532, 6, 10, 8, 6294, 0.15735, 0.825484
533, 7, 10, 8, 6143, 0.153575, 0.823192
534, 8, 10, 8, 6369, 0.159225, 0.826602
535, 9, 10, 8, 6371, 0.159275, 0.826631
536, 10, 10, 8, 6055, 0.151375, 0.821831
537, 11, 10, 8, 5973, 0.149325, 0.820544
538, 12, 10, 8, 6073, 0.151825, 0.822111
539, 17, 10, 8, 16746, 0.41865, 0.917831
540, 18, 10, 8, 16778, 0.41945, 0.918011
541, 5, 11, 8, 6245, 0.156125, 0.824746
542, 6, 11, 8, 6178, 0.15445, 0.823728
543, 7, 11, 8, 6444, 0.1611, 0.827707
544, 8, 11, 8, 6200, 0.155, 0.824064
545, 9, 11, 8, 6099, 0.152475, 0.822514
546, 10, 11, 8, 6334, 0.15835, 0.826082
547, 11, 11, 8, 6198, 0.15495, 0.824033
548, 12, 11, 8, 6313, 0.157825, 0.825768
549, 1, 13, 8, 13343, 0.333575, 0.896393
550, 2, 13, 8, 13268, 0.3317, 0.895861
551, 1, 14, 8, 13341, 0.333525, 0.896379
552, 2, 14, 8, 13253, 0.331325, 0.895754
553, 1, 15, 8, 13196, 0.3299, 0.895347
554, 2, 15, 8, 13405, 0.335125, 0.89683
555, 12, 15, 8, 33172, 0.8293, 0.982337
556, 1, 16, 8, 13242, 0.33105, 0.895676
557, 2, 16, 8, 13345, 0.333625, 0.896407
558, 12, 16, 8, 33354, 0.83385, 0.982853
559, 5, 1, 9, 12207, 0.305175, 0.887996
560, 6, 1, 9, 12323, 0.308075, 0.888888
561, 7, 1, 9, 11971, 0.299275, 0.886153
562, 5, 2, 9, 12181, 0.304525, 0.887794
563, 6, 2, 9, 12404, 0.3101, 0.889506
564, 7, 2, 9, 12285, 0.307125, 0.888597
565, 5, 3, 9, 12339, 0.308475, 0.889011
566, 6, 3, 9, 12290, 0.30725, 0.888635
567, 7, 3, 9, 12309, 0.307725, 0.888781
568, 5, 4, 9, 12333, 0.308325, 0.888965
569, 6, 4, 9, 12098, 0.30245, 0.887149
570, 7, 4, 9, 12311, 0.307775, 0.888796
571, 5, 7, 9, 6153, 0.153825, 0.823346
572, 6, 7, 9, 6119, 0.152975, 0.822823
573, 7, 7, 9, 6152, 0.1538, 0.82333
574, 8, 7, 9, 6147, 0.153675, 0.823254
575, 9, 7, 9, 6348, 0.1587, 0.82629
576, 10, 7, 9, 6397, 0.159925, 0.827016
577, 11, 7, 9, 6043, 0.151075, 0.821643
578, 12, 7, 9, 6265, 0.156625, 0.825048
579, 5, 8, 9, 6337, 0.158425, 0.826126
580, 6, 8, 9, 6290, 0.15725, 0.825424
581, 7, 8, 9, 6089, 0.152225, 0.822359
582, 8, 8, 9, 6128, 0.1532, 0.822962
583, 9, 8, 9, 6210, 0.15525, 0.824216
584, 10, 8, 9, 6081, 0.152025, 0.822235
